model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_25,1,Jean Lannes,revolutionary_napoleonic,99.23157162726008
baseline_conservative,top_25,2,Napoleon Bonaparte,revolutionary_napoleonic,98.3518776077886
baseline_conservative,top_25,3,Alexander Suvorov,revolutionary_napoleonic,98.15716272600834
baseline_conservative,top_25,4,Takeda Shingen,early_modern,97.11404728789985
baseline_conservative,top_25,5,Khalid ibn al-Walid,medieval,96.80806675938804
baseline_conservative,top_25,6,"Alexander Farnese, Duke of Parma",early_modern,96.60639777468707
baseline_conservative,top_25,7,Louis-Gabriel Suchet,revolutionary_napoleonic,96.23783031988874
baseline_conservative,top_25,8,"Sébastien Le Prestre, Marquis of Vauban",early_modern,96.1578581363004
baseline_conservative,top_25,9,"Maurice, Prince of Orange",early_modern,95.05563282336578
baseline_conservative,top_25,10,Louis-Nicolas Davout,revolutionary_napoleonic,95.00347705146035
baseline_conservative,top_25,11,Francis Vere,early_modern,94.31849791376912
baseline_conservative,top_25,12,André Masséna,revolutionary_napoleonic,93.47357440890124
baseline_conservative,top_25,13,Abu Ubayda ibn al-Jarrah,medieval,93.41098748261474
baseline_conservative,top_25,14,Charles XIV John,revolutionary_napoleonic,93.32753824756607
baseline_conservative,top_25,15,Robert L. Eichelberger,world_wars,92.24617524339361
baseline_conservative,top_25,16,Walter Krueger,world_wars,92.24617524339361
baseline_conservative,top_25,17,Maurice de Saxe,early_modern,92.12100139082058
baseline_conservative,top_25,18,Suleiman the Magnificent,early_modern,92.02712100139082
baseline_conservative,top_25,19,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,91.86022253129347
baseline_conservative,top_25,20,Ferdinand Foch,world_wars,91.54728789986092
baseline_conservative,top_25,21,Subutai,medieval,91.10222531293464
baseline_conservative,top_25,22,Charles XII of Sweden,early_modern,90.36856745479832
baseline_conservative,top_25,23,Jean Victor Marie Moreau,revolutionary_napoleonic,89.86439499304589
baseline_conservative,top_25,24,Belisarius,medieval,89.54450625869262
baseline_conservative,top_25,25,Louis XIV,early_modern,89.44019471488178
baseline_conservative,top_50,1,Jean Lannes,revolutionary_napoleonic,99.23157162726008
baseline_conservative,top_50,2,Napoleon Bonaparte,revolutionary_napoleonic,98.3518776077886
baseline_conservative,top_50,3,Alexander Suvorov,revolutionary_napoleonic,98.15716272600834
baseline_conservative,top_50,4,Takeda Shingen,early_modern,97.11404728789985
baseline_conservative,top_50,5,Khalid ibn al-Walid,medieval,96.80806675938804
baseline_conservative,top_50,6,"Alexander Farnese, Duke of Parma",early_modern,96.60639777468707
baseline_conservative,top_50,7,Louis-Gabriel Suchet,revolutionary_napoleonic,96.23783031988874
baseline_conservative,top_50,8,"Sébastien Le Prestre, Marquis of Vauban",early_modern,96.1578581363004
baseline_conservative,top_50,9,"Maurice, Prince of Orange",early_modern,95.05563282336578
